Customer Name,CRON ID,Internal Dashboard ID,Analytics Email,Analytics,Facebook,Pixel,Google,Bing,CSM,Google Ad Ops Manager,Facebook Ad Ops Manager
Lia CJDR of Northampton,liachryslerjeepdodgeramnorthamptoncom,602e291fc2954e001e38d3f8,smediaanalytic@gmail.com,UA-157545294-26,53797099,376907945832829,,,Erin Richmond,,
Lia CJDR of Schenectady,liachryslerdodgejeepramcom,,,"UA-190651803-65	",450600792894720,829112337266947,,,,,
Lia Honda of Albany,liahondaofalbanycom,602e2923c2954e001e38d401,smediaanalytic@gmail.com,UA-157545294-35,53797099,376907945832829,,,Erin Richmond,,
Lia Honda of Brewster,brewsterhondacom,602e2927c2954e001e38d40a,smediaanalytic@gmail.com,UA-157545294-33,53797099,376907945832829,,,Erin Richmond,,
Lia Honda of Enfield,liahondaofenfieldcom,602e292bc2954e001e38d413,smediaanalytic@gmail.com,UA-157545294-31,53797099,376907945832829,,,Erin Richmond,,
Lia Honda of Kingston,liahondaofkingstoncom,602e292fc2954e001e38d41c,smediaanalytic@gmail.com,UA-157545294-34,53797099,376907945832829,,,Erin Richmond,,
Lia Honda of Northampton,liahondanorthamptoncom,602e2933c2954e001e38d425,smediaanalytic@gmail.com,UA-157545294-30,53797099,376907945832829,,,Erin Richmond,,
Lia Honda of Williamsville,liahondaofwilliamsvillecom,602e2938c2954e001e38d42e,smediaanalytic@gmail.com,UA-157545294-32,53797099,376907945832829,742-584-7984,,Erin Richmond,,Arnel Ditona
Lia Hyundai of Albany,liahyundaiofalbanycom,602e2923c2954e001e38d401,smediaanalytic@gmail.com,UA-159081726-19,53797099,376907945832829,844-040-3996,,Erin Richmond,,
Lia Hyundai of Enfield,liahyundaiofenfieldcom,602e292bc2954e001e38d413,smediaanalytic@gmail.com,UA-159081726-20        ,53797099,376907945832829,,,Erin Richmond,,Arnel Ditona
Lia Hyundai of Hartford,liahyundaiofhartfordcom,602e2994c2954e001e38d4fe,smediaanalytic@gmail.com,UA-159081726-21,53797099,376907945832829,,,Erin Richmond,,
Lia Infiniti,liainfiniticom,602e2998c2954e001e38d507,smediaanalytic@gmail.com,UA-159081726-22,53797099,376907945832829,,,Erin Richmond,,
Lia Nissan of Colonie,lianissanschenectady,602e279fc2954e001e38d0b0,smediaanalytic@gmail.com,UA-146366686-38,53797099,376907945832829,,,Ryan Yuhasz,,
Lia Nissan of Enfield,lianissanenfieldcom,,smediaanalytic@gmail.com,UA-159081726-23,53797099,376907945832829,,,Erin Richmond,,
Lia Nissan of Glen Falls,lianissangfcom,602e299cc2954e001e38d510,smediaanalytic@gmail.com,UA-159081726-24,53797099,376907945832829,,,Erin Richmond,,
Lia Nissan of Saratoga,lianissansaratogacom,602e28cdc2954e001e38d33e,smediaanalytic@gmail.com,UA-156597236-21,53797099,376907945832829,,,Erin Richmond,,
Lia Toyota of Colonie,liatoyotaofcoloniecom,602e29a0c2954e001e38d519,smediaanalytic@gmail.com,UA-159081726-25,53797099,376907945832829,439-069-3144,,Erin Richmond,,Arnel Ditona
Lia Toyota of Northampton,liatoyotaofnorthamptoncom,602e293cc2954e001e38d438,smediaanalytic@gmail.com,UA-157545294-27,53797099,376907945832829,,,Erin Richmond,,
Lia Toyota of Rockland,liatoyotaofrocklandcom,602e291bc2954e001e38d3ee,smediaanalytic@gmail.com,UA-157545294-28,53797099,376907945832829,187-743-2584,,Erin Richmond,,
Lia Toyota of Willbraham,liatoyotaofwilbrahamcom,602e2917c2954e001e38d3e5,smediaanalytic@gmail.com,UA-157545294-29,53797099,376907945832829,,,Erin Richmond,,Arnel Ditona
Lia Volkswagen,liavwcom,602e29a4c2954e001e38d523,smediaanalytic@gmail.com,UA-159081726-26,53797099,376907945832829,,,Erin Richmond,,
Lindsay Buick GMC,lindsaygm,,smediaanalytic@gmail.com,UA-44212453-1,958815707489726,1660844937538139,675-512-6310,156003218,Grant Criddle,Umer Khan,Arnel Ditona
Linnihan Foy - BMW of Tuscaloosa,bmwoftuscaloosacom,602e28a6c2954e001e38d2e8,marshalsmedia@gmail.com,UA-146082375-3        ,122265858969091,645730539588472,,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Carlock CDJR of Tuscaloosa,carlockcdjroftuscaloosa,602e27cfc2954e001e38d113,smediaanalytic@gmail.com,UA-146088203-1        ,693054221171966,2382648455121691,,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Carlock CJDR of Tupelo,carlockdodgetupelo,602e2810c2954e001e38d1ae,,UA-146082375-2,522570811930638,416287955931735,,,Corbin Senchuk,,
Linnihan Foy - Carlock Motorcars,carlockmccom,602e2982c2954e001e38d4d6,,UA-146088203-2,223030118742497,226776221833892,,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Carlock Nissan of Jackson,carlocknissanofjackson,602e27e5c2954e001e38d14d,smediaanalytic@gmail.com,UA-146082375-7        ,642622182930848,2435777076545721,,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Carlock Nissan of Tupelo,carlocknissanoftupelo,602e280cc2954e001e38d1a5,smediaanalytic@gmail.com,UA-146082375-6        ,762912944233490,510729206496015,,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Carlock Toyota of Tupelo,carlocktoyotaoftupelo,602e2814c2954e001e38d1b7,smediaanalytic@gmail.com,UA-146082375-5        ,607235736475364,767402583721177,,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Carlock VW of Cool Springs,hallmarkvwcoolspringscom,602e2b01c2954e001e38d81e,,UA-171699954-52,760720707822587,645813163036468,,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Carlock VW of North Nashville,volkswagenofnorthnashvillecom,602e2af8c2954e001e38d80a,smediaanalytic@gmail.com,UA-171699954-51,801064947382584,373878787089605,,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Chippewa Valley Mazda,morrieschippewavalleymazda,602e277ac2954e001e38d05c,smediawebmastertool@gmail.com,UA-147963671-9,3313776972062954,387313142428845,230-517-2939,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Hello Kia of Valencia,kiaofvalenciacom,602e2865c2954e001e38d266,smediaanalytic@gmail.com,UA-151218577-36,647748612511226,648373739109839,,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Hello Mazda of Valencia,hellomazdavalenciacom,602e2ae6c2954e001e38d7e3,,UA-171699954-34,618715309022542,331435964891545,,,Corbin Senchuk,,
Linnihan Foy - Lake Country Toyota,lakecountrytoyotacom,602e2aadc2954e001e38d76b,,,,,,,Corbin Senchuk,,Nhoel Ditona
Linnihan Foy - Volvo Cars Cool Springs,,,,,,,601-692-4484,,,,
LiveAdmins LLC,,,,,,,,,Corbin Senchuk,,
Lombard Toyota,lombardtoyota,602e2660c2954e001e38cdf7,smediaanalytic@gmail.com,UA-141626127-19        ,374797179814478,636732736791189,,,Kaleah Baker,,
Lone Star Mercedes-Benz,mercedes_benz_lonestarcalgary,602e2546c2954e001e38cb6e,smediaanalytic@gmail.com,UA-84825934-1,811874355835066,318201398893976,,,Devin Howell-Shiplack,,Kryzelle Campus
Longley Bros Inc - Longley Dodge Ram,longleybroscom,602e29c6c2954e001e38d56c,smediaanalytic@gmail.com,UA-161444828-4,506286416727360,1274279622782579,285-950-5672,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Loudon Motors Ford,loudonmotorsfordnet,,,"UA-179984697-87	",2882972511934126,681204845912733,,,,,
Lundes Peoria Volkswagen,peoriavwcom,,smediaanalytic@gmail.com,UA-167380325-9,2617834351808295,639489326633982,,,Kaleah Baker,,Esperanza San Jose
Lussier Sales,lussiersales,602e24c5c2954e001e38ca31,smediaanalytic@gmail.com,UA-130939443-18,365104590704218,433915493811717,,,,,
MacDonald Buick GMC Cadillac Ltd.,macdonaldbuickgmc_fr,602e221ec2954e001e38c3df,smediaanalytic@gmail.com,UA-39583880-1,1085701114801184,1796881010598715,305-941-8315,2912426,Grant Criddle,Umer Khan,Esperanza San Jose
MacIntyre Chevrolet,macintyrechevroletcom,602e2b8ac2954e001e38d932,smediaanalytic@gmail.com,UA-179984697-43,375682236959235,350785579485065,187-816-5454,156004128,,,Nhoel Ditona
Maclin Ford,maclinfordcalgary,602e2375c2954e001e38c72e,coaganalytics@gmail.com,UA-76222286-1,1650144541690169,2038876696378550,893-810-9162,,Alyssa Podevin,,
Mainline Chrysler,mainlinechrysler,602e2223c2954e001e38c3eb,marshalsmedia@gmail.com,UA-53732403-1        ,958810130823617,521501288006424,242-392-2065,156002886,Devin Howell-Shiplack,Homi Khan,Esperanza San Jose
Mangold Ford,mangoldfordcom,,smediaanalytic@gmail.com,UA-169324917-37,996788577446266,561415864550259,334-441-2654,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Mann Northway,mannnorthway,,smediaanalytic@gmail.com,UA-118985773-30,1735459566686834,937603129620988,,,,,
Maple Ridge Volkswagen,mapleridge_vw,,,UA-122092463-30,1.7371E+15,1029686947092173,599-864-0912,,,,
Marshall Motors,marshallusedcarsca,602e2ab8c2954e001e38d781,,UA-171699954-10,2742440266041632,213450573218879,712-239-6329,,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Martin Chrysler,martinchrysler_net,602e284ec2954e001e38d236,smediaanalytic@gmail.com,UA-153112697-1        ,803663360063878,729514547532676,,,Ryan Yuhasz,,Nhoel Ditona
Massey Toyota,masseytoyotacom,602e2a87c2954e001e38d718,smediaanalytic@gmail.com,UA-169324917-13,704057343780587,916215128884724,,,Devin Howell-Shiplack,,Kryzelle Campus
McAuley Ford,mcauleyford,602e25c1c2954e001e38cc89,smediaanalytic@gmail.com,UA-137985131-39,841810799510405,2299097017019798,,,Ryan Yuhasz,,Nhoel Ditona
McCords Vancouver Toyota & RV Centre,vancouvertoyota,5fb6c2a894138d001dfde4f5,smediaanalytic@gmail.com,UA-146366686-36,783963082037478,936418860057372,,,Ryan Yuhasz,,Nhoel Ditona
McDonald Chevrolet,mcdonaldchevrolet,602e27aec2954e001e38d0d1,smediaanalytic@gmail.com,UA-146366686-41,2382504218681339,548774605950431,168-028-4295,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
McDonald Ford,mcdonaldford,602e27e1c2954e001e38d143,smediawebmastertool@gmail.com,UA-114315569-1        ,383110052566202,442179029988494,737-158-7456,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
McDonald Nissan,mcdonaldnissancom,602e2b4cc2954e001e38d8b9,smediaanalytic@gmail.com,UA-171699954-93,2269916419820819,775622976344269,,,Ryan Yuhasz,,Nhoel Ditona
McFadden Honda,mcfaddenhonda,5fc87c0baec401001d0dbb5f,smediaanalytic@gmail.com,UA-109667713-22        ,1543785875659370,1568858043210549,223-400-9942,,Ryan Yuhasz,Umer Khan,Arnel Ditona
McGoverns RV & Marine,mcgovernsrv,602e2232c2954e001e38c417,marshalsmedia@gmail.com,UA-75508277-1,1016335465071083,1573250266321461,168-387-5406,,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Mcgrath Mitsubishi Liverpool,mcgrathmitsubishiliverpoolcomau,,,,,,,,,,
McMillan Motor Products Inc,mcmillanmotorproducts,602e22eac2954e001e38c5d7,smediawebmastertool@gmail.com,UA-107606308-16,1505212436183381,1759100031057297,776-670-2119,,Grant Criddle,Umer Khan,Esperanza San Jose
McNaught Buick GMC,mcnaught,,smediaanalytic@gmail.com,UA-118985773-31,1737102746522516,912645192183722,,,,,
Melloy Nissan,melloynissan,602e2237c2954e001e38c424,smediawebmastertool@gmail.com,UA-100014029-2,1388534541184505,1444090622313959,100-900-2470,,Grant Criddle,,Arnel Ditona
Melville Chevrolet Buick GMC,melvillechevrolet,,smediaanalytic@gmail.com,UA-118985773-10,1900091590002119,581441918907170,245-944-0354,,Grant Criddle,,Arnel Ditona
Mercedes-Benz Downtown Calgary,mercedes_benz_downtowncalgaryca,602e2b63c2954e001e38d8e8,smediaanalytic@gmail.com,UA-179984697-27,711131109753966,695313598052563,,,Ryan Yuhasz,,Nhoel Ditona
Mercedes-Benz of Stockton,mbofstockton,602e27f9c2954e001e38d17a,smediaanalytic2@gmail.com,UA-84967449-1        ,1245693818924522,444533132849539,530-753-0829,,Ryan Yuhasz,,Nhoel Ditona
Mercedes-Benz Regina,mbregina,,marshalsmedia@gmail.com,UA-66725078-1,958810354156928,201248633543187,303-035-6432,150375661,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Merit Ford Sales Ltd,meritfordcom,602e2a78c2954e001e38d6f8,smediaanalytic@gmail.com,UA-169324917-10,265269308078165,601986840444801,510-347-7054,,Devin Howell-Shiplack,Homi Khan,
Mike Burkart Ford,mikeburkartford,602e26bbc2954e001e38ceb9,smediaanalytic@gmail.com,UA-143782155-5,696135460845864,405080936773918,,,Kaleah Baker,,Esperanza San Jose
Mike Jackson GM,mikejacksongm,602e223cc2954e001e38c431,marshalsmedia@gmail.com,UA-66831618-1,958812064156757,114614328908137,924-904-8253,156002880,Grant Criddle,Umer Khan,Esperanza San Jose
MINI Calgary,minicalgaryca,602e28b5c2954e001e38d307,smediaanalytic@gmail.com,UA-156597236-4,540706546105057,1707614559499581,,,,,Arnel Ditona
Mississippi Auto Direct,msautodirectcom,602e2bd6c2954e001e38d9d0,smediaanalytic@gmail.com,UA-185710316-1,1297692080588789,306253797323521,,,Ryan Yuhasz,,Nhoel Ditona
Modern Classic Motors,modernclassicmotorsnet,,,"UA-185710316-8	",247831883408143,207242620951582,779-503-4276,,,,
Moncton CDJR,monctonchryslercom,,,UA-190651803-35        ,,,,,,,
Moncton Kia,monctonkia,,,"UA-109667713-50	",2888712831410084,2087211398232014,,,,,
Morries 394 Hyundai,morries394hyundai,602e2771c2954e001e38d047,smediawebmastertool@gmail.com,UA-147963671-7,1855174298048761,286862781736347,397-980-8043,,Erin Richmond,Umer Khan,Arnel Ditona
"Morries Audi La Crosse
",audilacrosse,602e2761c2954e001e38d020,smediawebmastertool@gmail.com,UA-147963671-2,2149124761987045,452191851861029,250-429-6800,,Erin Richmond,Umer Khan,Arnel Ditona
Morries Automotive Group,morries,,smediawebmastertool@gmail.com,UA-148906878-16,312464652766663,735696830704533,905-178-6164,156004158,Regan Hinchcliffe,Umer Khan,
Morries Brenengen West Salem Kia,brenengenkiacom,,smediawebmastertool@gmail.com,UA-147963671-17,893380681239108,117050223649363,677-025-7135,156004154,Erin Richmond,Umer Khan,
Morries Brooklyn Park Subaru,brooklynparksubaru,602e2782c2954e001e38d071,smediawebmastertool@gmail.com,UA-147963671-12,1855173898048801,358021474592085,738-819-9664,,Erin Richmond,Umer Khan,Arnel Ditona
Morries Buffalo Ford,morriesbuffaloford,602e276dc2954e001e38d03d,smediawebmastertool@gmail.com,UA-147963671-5,1854791858087005,402452140110672,131-764-3156,,Erin Richmond,Umer Khan,Arnel Ditona
Morries Golden Valley Cadillac,goldenvalley_cadillac,602e2765c2954e001e38d02a,smediawebmastertool@gmail.com,UA-147963671-3,1854792034753654,277208429382459,643-409-9448,156004268,Erin Richmond,,
Morries Inver Grove Mazda,morriesinvergrovemazda,,smediawebmastertool@gmail.com,UA-141626127-31,1855189594713898,101673673707173,,,Erin Richmond,,Arnel Ditona
Morries Mercedes Benz of St Paul,mercedesbenzofstpaul,,smediawebmastertool@gmail.com,UA-147963671-10,2066258260273696,405459146596834,598-685-9711,156003957,Erin Richmond,,Arnel Ditona
Morries Minnetonka Ford,minnetonkaford,602e2769c2954e001e38d034,smediawebmastertool@gmail.com,UA-147963671-4,1855174418048749,1145265042250451,843-883-7933,,Erin Richmond,Umer Khan,Arnel Ditona
Morries Minnetonka Mazda,morriesmazda,,smediawebmastertool@gmail.com,UA-141626127-30,1855189484713909,1805847712971647,,,Erin Richmond,Umer Khan,Arnel Ditona
Morries Minnetonka Subaru,minnetonkasubaru,602e2786c2954e001e38d07a,smediawebmastertool@gmail.com,UA-147963671-13,1855189821380542,1399531476766456,798-761-1123,,Erin Richmond,,Arnel Ditona
Morries Ultra Luxury Auto,morriesluxuryauto,602e275dc2954e001e38d016,smediawebmastertool@gmail.com,UA-147963671-1,1855174151382109,661499910714757,288-576-4958,,Erin Richmond,Umer Khan,Arnel Ditona
Morries Volkswagen La Crosse,vwlacrosse,,smediawebmastertool@gmail.com,UA-147963671-14,2149124761987045,1296798813785354,637-112-0523,,,,
Morries West Bend Honda ,morrieswestbendhondacom,,smediawebmastertool@gmail.com,UA-147963671-16,354992555247556,827884850999392,532-585-5715,,Erin Richmond,Umer Khan,Arnel Ditona
Morries West End Lincoln,westendlincoln,602e2775c2954e001e38d051,smediawebmastertool@gmail.com,UA-147963671-8,1951151238451066,1226068177442309,874-468-6933,,Erin Richmond,,
Moto United Bountiful,motounitedbountiful,602e252dc2954e001e38cb2f,smediaanalytic@gmail.com,UA-134636584-19,160117374909345,422348825192987,,,,,
Moto United Draper,motouniteddraper,602e252dc2954e001e38cb2f,smediaanalytic@gmail.com,UA-134636584-21,269152994035569,767731316947296,,,Devin Howell-Shiplack,,
Motor Inn of Spirit Lake,motorinnspiritlake,602e23b7c2954e001e38c7c5,smediawebmastertool@gmail.com,UA-113480963-44,1672510169453606,191024508178704,160-678-4885,156002897,Devin Howell-Shiplack,,
Move Your Metal - Dixie Ford,dixiefordcom,,,,,,,,,,
Murdock AG - Murdock Chev of Logan,murdockchevroletlogancom,,,"UA-190651803-46	",201998915055604,299457950997335,,,,,
Murdock AG - Murdock Chev of Wood Cross,murdockchevcom,,,"UA-179984697-12	",2985248321708478,1668071953358384,,,,,
Murdock Hyundai of Lindon,murdockhyundailindoncom,,,"UA-179984697-22	",3770764993021205,178149559502556,,,,,
Murdock Hyundai of Murray,murdockhyundaislccom,,,"UA-179984697-25	",3.86444E+15,505236743229744,,,,,
Murdock VW of Logan,murdockvwcom,,,"UA-179984697-26	",811284586427328,1173493312843371,,,,,
Murray Buick GMC Penticton,murraygmpenticton,602e2737c2954e001e38cfc3,smediaanalytic@gmail.com,UA-146366686-6,415810479291893,2392068564413808,,,Kaleah Baker,Umer Khan,
Murray Chev Cadillac Buick GMC Brandon,murraybrandongm,,marshalsmedia@gmail.com,UA-16026587-2,958813080823322,1119262891424722,,,Kaleah Baker,,Kryzelle Campus
Murray Dunn Motors,murraydunngm,,marshalsmedia@gmail.com,UA-73364787-1,989261914445105,1680516208902549,,,Devin Howell-Shiplack,,Kryzelle Campus
Murray GM Abbotsford,murraygmabbotsford,602e251dc2954e001e38cb0c,smediaanalytic@gmail.com,UA-134636584-12,592485141225732,1245603592262610,,,,,Kryzelle Campus
Murray Hyundai Medicine Hat,murrayhyundaimedicinehatcom,,,"UA-185710316-63	",337930770879629,835273957045144,,,,,
Nanaimo Honda,nanaimohonda,602e25fdc2954e001e38cd14,smediaanalytic@gmail.com,UA-140422192-34,399815977274917,309831359954282,489-752-6241,156002866,Devin Howell-Shiplack,,Kryzelle Campus
Natchez Ford,natchezfordcom,602e2bbac2954e001e38d998,smediaanalytic@gmail.com,UA-179984697-83,447291239763950,373704393936285,,,,,Arnel Ditona
Need Wheels Kingston,needwheelsca,,,"UA-40179181-1	",270111178173961,240292802970576,,,,,
Nelson Automotive Group,autosbynelson,,smediawebmastertool@gmail.com,UA-111241337-36,1595387567165867,316003072245015,512-027-9350,156003424,Ryan Yuhasz,Homi Khan,Kryzelle Campus
Nelson Ford,nelsonsford,602e235cc2954e001e38c6ef,smediawebmastertool@gmail.com,UA-111241337-39,1595349930502964,534066653623818,240-862-3119,156002836,Grant Criddle,,Arnel Ditona
Nelson Honda,hondasbynelson,5e596a374ba24f5c81dda6ad,smediawebmastertool@gmail.com,UA-111241337-44,1595329023838388,214238119138320,914-422-2701,156002835,Erin Richmond,Umer Khan,
Nelson Kia,kiasbynelson,602e2354c2954e001e38c6db,smediawebmastertool@gmail.com,UA-111241337-38,1595354133835877,746166802220179,487-231-1950,156002834,Grant Criddle,Umer Khan,Arnel Ditona
Nelson Mazda,mazdasbynelson,,smediawebmastertool@gmail.com,UA-111241337-45,,139659536701593,,,Grant Criddle,Umer Khan,Arnel Ditona
Nelson Subaru,nelsonsubaru,602e234cc2954e001e38c6c5,smediawebmastertool@gmail.com,UA-111241337-42,1595361763835114,323507504811853,598-068-1452,156002833,Grant Criddle,Umer Khan,Arnel Ditona
Nelson Toyota,toyotasbynelson,602e2364c2954e001e38c702,smediawebmastertool@gmail.com,UA-111241337-43,1595397103831580,195871754326906,543-764-6037,156002832,Grant Criddle,Umer Khan,Arnel Ditona
Nimnicht Buick GMC,nimnichtbuickgmccom,,,"UA-185710316-26	",841716126628428,683256305697460,,,,,
Nipawin Chrysler Dodge LTD,nipawinchrysler,602e25efc2954e001e38ccf4,smediaanalytic@gmail.com,UA-140422192-18,307549266837418,2424458377838505,,,Devin Howell-Shiplack,Umer Khan,Kryzelle Campus
Nisku Ford Sales,niskufordca,602e2a6ec2954e001e38d6e2,smediaanalytic@gmail.com,UA-167380325-46,184979919530517,286534289386798,,,Devin Howell-Shiplack,,Kryzelle Campus
Nissan Lloydminster,nissanlloydminstercom,602e2a0dc2954e001e38d609,smediaanalytic@gmail.com,UA-161444828-25,601854700673440,3715492465159666,753-864-8300,,Ryan Yuhasz,,Nhoel Ditona
Nissan of Midland,nissanofmidland,602e2586c2954e001e38cbfd,smediaanalytic@gmail.com,UA-137985131-26,,,,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
North Battleford Hyundai,northbattlefordhyundaicom,602e2a8cc2954e001e38d723,smediaanalytic@gmail.com,UA-169324917-26,551394662198660,708291919995419,697-235-1484,,Devin Howell-Shiplack,,
North Bay Mitsubishi,northbaymitsubishi,602e25bcc2954e001e38cc7d,smediaanalytic@gmail.com,UA-122092463-23,1705837376233094,1613476338807440,123-221-9009,,Kaleah Baker,Homi Khan,Esperanza San Jose
North Bay Toyota 1,northbaytoyota,5fb6c3f294138d001dfde508,smediaanalytic@gmail.com,UA-104254954-1,1584657411572216,2012097119048509,548-413-5794,,Corbin Senchuk,Umer Khan,Nhoel Ditona
North Point Auto Sales,northpointautosalesca,602e2af4c2954e001e38d801,smediaanalytic@gmail.com,UA-171699954-86,345726413337180,251758916126004,,,Corbin(Partnerships),Umer Khan,Nhoel Ditona
Northern Honda,northernhondacom,,,"UA-185710316-28	",439516247097007,221066339660735,867-660-4950,,Corbin Senchuk,,
Northern RV,northernrvca,602e2a96c2954e001e38d73a,smediaanalytic@gmail.com,UA-169324917-36,347072262927171,2966650083451734,,,Devin Howell-Shiplack,,Arnel Ditona
Northstar Ford Calgary,northstarfordsalescalgaryca,,,,,,,,,,
Northwest Chevrolet Buick GMC Cadillac of Bellingham,bellinghamchevy,602e270bc2954e001e38cf65,smediaanalytic@gmail.com,UA-143782155-42,1084957581894885,368344124066551,,,Devin Howell-Shiplack,,Kryzelle Campus
Northwest Mini,northwestmini,602e19e1c2954e001e3783ba,smediawebmastertool@gmail.com,UA-96122244-15,1331110636926896,140924206440674,680-271-9343,,Devin Howell-Shiplack,Homi Khan,Esperanza San Jose
Northwest Preowned Center,northwestpreownedcenter,602e19edc2954e001e3783c4,smediawebmastertool@gmail.com,UA-105300356-1,1465281076843184,1843751472621005,423-491-0778,156003208,Devin Howell-Shiplack,Homi Khan,Esperanza San Jose
Nott Autocorp,winnipegusedcars,602e19f8c2954e001e3783cf,marshalsmedia@gmail.com,UA-42553815-29,,633068546842547,960-867-0486,,,,
Okanagan Drives Credit,okanagandrivescom,,smediaanalytic@gmail.com,UA-179984697-16,1221771168186184,1215320145534798,716-597-9862,,Devin Howell-Shiplack,,
Orange Media Group -  Spring Valley Ford,springvalleyfordcom,602e29f7c2954e001e38d5d7,smediaanalytic2@gmail.com,UA-85923041-1,219415402478337,829188680925348,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Arlington Acura,arlingtonacura,602e22bbc2954e001e38c569,smediaanalytic@gmail.com,UA-6377702-1,1496594863711805,634404896947916,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Arlington Nissan,arlingtonnissan,,smediaanalytic@gmail.com,"UA-6377702-4
",1496579023713389,368161980285701,,,Corbin Senchuk,,
Orange Media Group - Arlington Toyota,toyotaarlington,602e25f3c2954e001e38ccfd,smediaanalytic@gmail.com,UA-140422192-24,337396073636416,879474045778060,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Bob Rohrman Genesis,rohrmangenesiscom,,smediaanalytic@gmail.com,UA-6377702-41,2821219981450321,415562596171929,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Bob Rohrman Honda,rohrmanhonda,602e24d3c2954e001e38ca54,smediaanalytic@gmail.com,UA-6377702-5,460657341138308,978525412536122,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Bob Rohrman Hyundai of Layfette,rohrmanhyundaicom,602e2ae2c2954e001e38d7da,smediaanalytic@gmail.com,UA-171699954-27,1350470044990955,118311415395908,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Bob Rohrman Indy Hyundai,indyhyundai,602e24a2c2954e001e38c9e1,smediaanalytic@gmail.com,UA-6377702-25,344179306306181,398583537536908,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Bob Rohrman Kia,rohrmankia,602e24d7c2954e001e38ca5e,smediaanalytic@gmail.com,UA-6377702-8,1454682438008281,357005931579239,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Bob Rohrman Subaru,bobrohrmansubaru,602e2473c2954e001e38c96d,smediaanalytic@gmail.com,UA-124740625-1,278629242986834,340770836690507,487-227-3182,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Fort Wayne Kia,fortwaynekia,,smediaanalytic@gmail.com,UA-6377702-19,639333156495668,561286704367263,,,Corbin Senchuk,Homi Khan,Nhoel Ditona
Orange Media Group - Fort Wayne Nissan,fortwaynenissan,602e23f7c2954e001e38c854,smediaanalytic@gmail.com,UA-6377702-20,1700917536672108,1708532475848961,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Fort Wayne Toyota,fortwaynetoyota,602e2514c2954e001e38caf6,smediaanalytic@gmail.com,UA-6377702-21,1205875946252457,2224253027836957,,,Corbin Senchuk,,
Orange Media Group - Gurnee Hyundai,gurneehyundai,602e22a1c2954e001e38c52d,smediaanalytic@gmail.com,UA-6377702-22,1496447213726570,121570695198196,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Gurnee VW,gurneevw,,smediaanalytic@gmail.com,UA-6377702-34,536199119740823,286601641836547,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Indy Genesis,indygenesisnet,,smediaanalytic@gmail.com,UA-185710316-68,1839078166251108,376026893440179,,,Corbin Senchuk,,
Orange Media Group - Indy Honda,indyhonda,,smediaanalytic@gmail.com,UA-6377702-23,1280795035291790,377849485926518,528-073-3476,156003771,Corbin Senchuk,,
Orange Media Group - Kenosha Nissan,kenoshanissan,602e22abc2954e001e38c545,smediaanalytic@gmail.com,UA-55730564-1,1496562933714998,1435476219883260,,,Corbin Senchuk,,
Orange Media Group - Lexus of Arlington,lexusofarlington,602e22a6c2954e001e38c539,smediaanalytic@gmail.com,UA-52347529-1,1496455570392401,177048176178050,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Lexus of Fort Wayne,lexusofftwayne,602e24dcc2954e001e38ca6a,smediaanalytic@gmail.com,UA-6377702-40,1363525450456648,1965362703562250,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Libertyville Lincoln,libertyville_lincolncom,602e294ec2954e001e38d460,smediaanalytic@gmail.com,UA-157545294-40,305773187069826,227285495099314,,,Corbin Senchuk,,Nhoel Ditona
Orange Media Group - Mendota Ford,mendotafordcom,602e29eac2954e001e38d5bc,smediaanalytic2@gmail.com,UA-62862517-1,511725402858814,824759751358428,,,Corbin Senchuk,,Nhoel Ditona
